"gene_id","keep_primary","total_count_primary","max_cpm_primary","samples_cpm_ge1_primary"
"ENSG00000279457",TRUE,3951,7.24182207957277,98
"ENSG00000187634",TRUE,20987,54.3238894312359,101
"ENSG00000188976",TRUE,75678,129.829033838537,101
"ENSG00000187961",TRUE,15481,17.8484352709065,101
"ENSG00000187583",TRUE,3189,7.09424153025155,85
"ENSG00000188290",TRUE,16648,27.6980294948082,101
"ENSG00000187608",TRUE,39830,180.247345267724,101
"ENSG00000188157",TRUE,210063,318.279887862758,101
"ENSG00000131591",TRUE,17198,27.2458848487024,101
"ENSG00000162571",TRUE,8243,55.1779356349381,70
"ENSG00000186891",TRUE,4643,17.3205787603617,83
"ENSG00000186827",TRUE,8708,22.6999956122569,101
"ENSG00000078808",TRUE,192836,182.53105395436,101
"ENSG00000176022",TRUE,27387,70.4872248682544,101
"ENSG00000184163",TRUE,1008,2.04256520193078,24
"ENSG00000160087",TRUE,50933,80.1265034827165,101
"ENSG00000162572",TRUE,9307,19.7590553010419,101
"ENSG00000131584",TRUE,89461,118.156469891337,101
"ENSG00000169972",TRUE,10715,22.0649112034172,101
"ENSG00000127054",TRUE,102710,136.681958478506,101
"ENSG00000224051",TRUE,26560,31.2523486328265,101
"ENSG00000169962",TRUE,2286,11.7911718475095,49
"ENSG00000107404",TRUE,72046,69.3457183032971,101
"ENSG00000162576",TRUE,199434,332.622894216881,101
"ENSG00000175756",TRUE,53712,222.381169910209,101
"ENSG00000221978",TRUE,301487,351.109150642343,101
"ENSG00000242485",TRUE,61689,90.9706919239865,101
"ENSG00000235098",TRUE,26967,71.982615225685,101
"ENSG00000179403",TRUE,91263,130.017963107121,101
"ENSG00000215915",TRUE,8755,24.4747308570328,101
"ENSG00000160072",TRUE,39672,57.5344442300709,101
"ENSG00000197785",TRUE,23067,78.017911285803,101
"ENSG00000205090",TRUE,2569,3.80659878541646,91
"ENSG00000160075",TRUE,118625,152.270479362832,101
"ENSG00000228594",TRUE,7078,32.5325653238097,101
"ENSG00000197530",TRUE,48721,55.9582620830289,101
"ENSG00000189409",TRUE,2270,5.52882134503243,72
"ENSG00000248333",TRUE,42640,41.5303039608796,101
"ENSG00000189339",TRUE,85271,99.9833285545887,101
"ENSG00000008128",TRUE,3658,5.13696280303219,100
"ENSG00000215790",TRUE,36599,54.7546671509413,101
"ENSG00000008130",TRUE,93644,112.127196233017,101
"ENSG00000078369",TRUE,591006,526.106945815815,101
"ENSG00000178821",TRUE,1282,4.18237012126525,33
"ENSG00000142609",TRUE,11698,81.0900313976369,65
"ENSG00000187730",TRUE,2337,7.45325903161838,62
"ENSG00000067606",TRUE,60616,107.572959324019,101
"ENSG00000162585",TRUE,41058,149.935966573392,101
"ENSG00000157933",TRUE,197223,213.318754058932,101
"ENSG00000116151",TRUE,9790,34.839239957419,101
"ENSG00000157916",TRUE,156702,136.923063132513,101
"ENSG00000157911",TRUE,25973,29.5060610678356,101
"ENSG00000149527",TRUE,29699,131.939304459246,100
"ENSG00000157881",TRUE,28729,32.2506035222919,101
"ENSG00000157873",TRUE,185733,273.873502584516,101
"ENSG00000157870",TRUE,43021,54.628786436684,101
"ENSG00000142606",TRUE,3733,6.53128127814092,89
"ENSG00000215912",TRUE,3361,13.57435916551,81
"ENSG00000142611",TRUE,17031,24.2419132139507,101
"ENSG00000130762",TRUE,14780,44.4865531935314,101
"ENSG00000162591",TRUE,168823,227.044025157233,101
"ENSG00000158109",TRUE,95955,88.9530393815167,101
"ENSG00000116213",TRUE,33594,36.2747631938115,101
"ENSG00000078900",TRUE,8549,48.6691334763077,76
"ENSG00000235169",TRUE,1596,3.84065007294976,50
"ENSG00000130764",TRUE,61790,62.2603620973417,101
"ENSG00000116198",TRUE,52744,54.7376861484891,101
"ENSG00000169598",TRUE,12262,15.3470151973818,101
"ENSG00000198912",TRUE,31412,34.0626932833747,101
"ENSG00000196581",TRUE,3125,10.4407216678696,73
"ENSG00000131697",TRUE,27094,36.614082289673,101
"ENSG00000069424",TRUE,113749,167.999189434568,101
"ENSG00000116254",TRUE,1360,4.03562029244893,38
"ENSG00000116251",TRUE,147353,174.40010428535,101
"ENSG00000158286",TRUE,20039,44.2104816909341,101
"ENSG00000116237",TRUE,137642,138.14040578023,101
"ENSG00000158292",TRUE,50923,72.9940872300909,101
"ENSG00000097021",TRUE,29661,36.2073216928941,101
"ENSG00000069812",TRUE,5918,20.1024681749967,88
"ENSG00000187017",TRUE,6582,32.4402229174995,62
"ENSG00000215788",TRUE,21008,32.3628656591028,101
"ENSG00000171680",TRUE,39533,52.9842016125388,101
"ENSG00000162408",TRUE,27812,29.2470890627813,101
"ENSG00000204859",TRUE,34128,38.7462725043869,101
"ENSG00000162413",TRUE,60069,71.8792934062981,101
"ENSG00000116273",TRUE,31133,42.0983185560361,101
"ENSG00000041988",TRUE,16950,23.1945141660495,101
"ENSG00000007923",TRUE,54726,55.6925884434341,101
"ENSG00000171735",TRUE,40916,45.0394108789281,101
"ENSG00000049245",TRUE,203488,216.845428235189,101
"ENSG00000049246",TRUE,56575,136.802312330152,101
"ENSG00000049249",TRUE,2892,9.11145972755892,70
"ENSG00000116288",TRUE,173114,188.384656648396,101
"ENSG00000116285",TRUE,224036,453.269590234228,101
"ENSG00000162426",TRUE,3475,4.70874329919669,99
"ENSG00000142599",TRUE,229100,244.781236605067,101
"ENSG00000074800",TRUE,706782,1672.79137393006,101
"ENSG00000142583",TRUE,6341,19.7050386493918,86
"ENSG00000180758",TRUE,25266,30.1688957801515,101
"ENSG00000049239",TRUE,243474,260.220125786164,101
"ENSG00000171621",TRUE,77719,229.433475366284,101
"ENSG00000171612",TRUE,9814,15.4754014943843,101
"ENSG00000188807",TRUE,16402,18.3859127846125,101
"ENSG00000171608",TRUE,52225,148.164684276028,101
"ENSG00000171603",TRUE,221645,307.385221774547,101
"ENSG00000178585",TRUE,58660,105.738300575799,101
"ENSG00000162441",TRUE,54464,55.7053037232755,101
"ENSG00000173614",TRUE,14298,16.9519772500062,101
"ENSG00000162444",TRUE,10102,25.1777873043286,100
"ENSG00000130939",TRUE,75340,73.6787236320617,101
"ENSG00000054523",TRUE,107094,121.143405282827,101
"ENSG00000142657",TRUE,189240,331.323218944177,101
"ENSG00000175279",TRUE,1419,2.77398580767217,43
"ENSG00000160049",TRUE,65228,60.0121964636873,101
"ENSG00000142655",TRUE,24686,32.0429816112042,101
"ENSG00000130940",TRUE,56899,100.600968049249,101
"ENSG00000175262",TRUE,987,3.22894804762023,20
"ENSG00000120948",TRUE,106804,135.175821194996,101
"ENSG00000116649",TRUE,51751,162.512212890698,101
"ENSG00000171824",TRUE,97166,94.6063841523026,101
"ENSG00000198793",TRUE,103983,94.0206054634141,101
"ENSG00000171819",TRUE,2266,20.5974842767296,53
"ENSG00000120942",TRUE,26387,28.7334525711301,101
"ENSG00000116661",TRUE,8445,23.8722759436289,101
"ENSG00000132879",TRUE,32216,49.0117192037564,101
"ENSG00000116663",TRUE,18945,41.5926110611128,101
"ENSG00000116670",TRUE,26996,64.7639031909175,101
"ENSG00000162490",TRUE,926,2.22954846723156,22
"ENSG00000177674",TRUE,56989,154.906219608974,101
"ENSG00000215910",TRUE,4525,20.5587739199075,92
"ENSG00000177000",TRUE,97500,100.061098760304,101
"ENSG00000011021",TRUE,57561,67.6075418912962,101
"ENSG00000116685",TRUE,69679,73.4241925710983,101
"ENSG00000083444",TRUE,172470,257.474168615985,101
"ENSG00000116688",TRUE,157202,158.142553823474,101
"ENSG00000116691",TRUE,36355,133.142535862258,101
"ENSG00000120949",TRUE,4154,12.4445108151688,95
"ENSG00000028137",TRUE,155224,316.646989921144,101
"ENSG00000048707",TRUE,172956,193.869901925139,101
"ENSG00000162496",TRUE,80801,221.006083503725,101
"ENSG00000157330",TRUE,4999,35.4438254664415,43
"ENSG00000162493",TRUE,69673,157.73551431432,101
"ENSG00000116731",TRUE,103282,103.855561404973,101
"ENSG00000189337",TRUE,63745,76.9510789904246,101
"ENSG00000171729",TRUE,26117,36.4724359015285,101
"ENSG00000142621",TRUE,19150,106.860488719719,100
"ENSG00000142634",TRUE,120179,234.20434758576,101
"ENSG00000132906",TRUE,24563,30.877724632283,101
"ENSG00000116138",TRUE,32625,37.9377406911591,101
"ENSG00000197312",TRUE,78647,106.769105381107,101
"ENSG00000116786",TRUE,155856,160.420009820405,101
"ENSG00000162461",TRUE,5741,8.0188679245283,101
"ENSG00000162458",TRUE,128190,199.581714068892,101
"ENSG00000233954",TRUE,3362,4.03618505952529,99
"ENSG00000065526",TRUE,191073,194.582900531876,101
"ENSG00000116809",TRUE,44111,50.6815195901017,101
"ENSG00000173641",TRUE,39048,98.1632267645265,101
"ENSG00000186510",TRUE,1173,4.45881812904061,25
"ENSG00000142627",TRUE,61880,122.582879482807,101
"ENSG00000142632",TRUE,19712,37.0937440622449,101
"ENSG00000132881",TRUE,4439,7.5573188627807,100
"ENSG00000037637",TRUE,57275,59.2771659031258,101
"ENSG00000055070",TRUE,197814,173.944098062693,101
"ENSG00000157191",TRUE,121130,159.686157991401,101
"ENSG00000219481",TRUE,22184,35.6300804465595,101
"ENSG00000058453",TRUE,61041,142.9343332671,101
"ENSG00000117122",TRUE,29490,59.2534745132729,101
"ENSG00000159363",TRUE,54325,74.2506954466545,101
"ENSG00000117118",TRUE,74635,76.4853605464759,101
"ENSG00000117115",TRUE,19694,65.0690291195018,101
"ENSG00000142623",FALSE,594,3.93064020372508,16
"ENSG00000159339",TRUE,6348,39.8497656602347,83
"ENSG00000179051",TRUE,121432,139.000814784643,101
"ENSG00000074964",TRUE,67949,74.7795013755686,101
"ENSG00000117154",TRUE,4387,8.55031015191869,92
"ENSG00000179023",TRUE,4800,20.6314804953913,88
"ENSG00000159423",TRUE,15060,24.4747308570328,101
"ENSG00000169991",TRUE,35585,48.7631826160098,101
"ENSG00000127481",TRUE,277813,317.840172695776,101
"ENSG00000127463",TRUE,72949,72.6917941754564,101
"ENSG00000053372",TRUE,35953,61.6886417367887,101
"ENSG00000053371",TRUE,44697,50.8417750783216,101
"ENSG00000040487",TRUE,17882,26.056175004718,101
"ENSG00000077549",TRUE,333882,342.048142236274,101
"ENSG00000173436",TRUE,22944,29.4449838926148,101
"ENSG00000158747",TRUE,439949,713.96962441611,101
"ENSG00000162542",TRUE,29284,37.612537685493,101
"ENSG00000169914",TRUE,26114,33.1761006289308,101
"ENSG00000188257",TRUE,108110,565.780470550422,101
"ENSG00000127472",TRUE,13397,19.731987379653,101
"ENSG00000117215",TRUE,2565,15.0278836601359,49
"ENSG00000162543",TRUE,37840,266.017623969881,101
"ENSG00000162545",TRUE,120017,273.532400515622,101
"ENSG00000090432",TRUE,39456,36.6871218901205,101
"ENSG00000183114",TRUE,1881,5.82102258045647,60
"ENSG00000158825",TRUE,6866,12.4881020149444,100
"ENSG00000158828",TRUE,115111,120.637726373924,101
"ENSG00000244038",TRUE,250324,277.977343329052,101
